Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Mammographs,Number,Iceland,2010,5,0.7,Very Low
Radiation therapy equipment,Number,Iceland,2010,4,0.6,Very Low
Computed Tomography scanners,Number,Ireland,2010,70,1.85,Low
Magnetic Resonance Imaging units,Number,Ireland,2010,56,1.75,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2010,7,0.85,Very Low
Gamma cameras,Number,Ireland,2010,29,1.46,Low
Mammographs,Number,Ireland,2010,66,1.82,Low
Radiation therapy equipment,Number,Ireland,2010,38,1.58,Low
Computed Tomography scanners,Number,Italy,2010,1907,3.28,High
Magnetic Resonance Imaging units,Number,Italy,2010,1332,3.12,High
Positron Emission Tomography (PET) scanners,Number,Italy,2010,127,2.1,Medium
Gamma cameras,Number,Italy,2010,688,2.84,Medium
Mammographs,Number,Italy,2010,1914,3.28,High
Radiation therapy equipment,Number,Italy,2010,378,2.58,Medium
Computed Tomography scanners,Number,Korea,2010,1743,3.24,High
Magnetic Resonance Imaging units,Number,Korea,2010,985,2.99,Medium
Positron Emission Tomography (PET) scanners,Number,Korea,2010,155,2.19,Medium
Gamma cameras,Number,Korea,2010,238,2.38,Medium
Mammographs,Number,Korea,2010,2414,3.38,High
Radiation therapy equipment,Number,Korea,2010,269,2.43,Medium
Computed Tomography scanners,Number,Luxembourg,2010,13,1.11,Low
Magnetic Resonance Imaging units,Number,Luxembourg,2010,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2010,1,0,Very Low
Gamma cameras,Number,Luxembourg,2010,9,0.95,Very Low
Mammographs,Number,Luxembourg,2010,10,1,Very Low
Radiation therapy equipment,Number,Luxembourg,2010,3,0.48,Very Low
Computed Tomography scanners,Number,Mexico,2010,540,2.73,Medium
Magnetic Resonance Imaging units,Number,Mexico,2010,222,2.35,Medium
Gamma cameras,Number,Mexico,2010,43,1.63,Low
Mammographs,Number,Mexico,2010,801,2.9,Medium
Radiation therapy equipment,Number,Mexico,2010,176,2.25,Medium
Computed Tomography scanners,Number,Netherlands,2010,205,2.31,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2010,203,2.31,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2010,40,1.6,Low
Gamma cameras,Number,Netherlands,2010,179,2.25,Medium
Computed Tomography scanners,Number,New Zealand,2010,68,1.83,Low
Magnetic Resonance Imaging units,Number,New Zealand,2010,46,1.66,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2010,5,0.7,Very Low
Gamma cameras,Number,New Zealand,2010,15,1.18,Low
Mammographs,Number,New Zealand,2010,110,2.04,Medium
Radiation therapy equipment,Number,New Zealand,2010,39,1.59,Low
Positron Emission Tomography (PET) scanners,Number,Poland,2010,16,1.2,Low
Computed Tomography scanners,Number,Poland,2010,547,2.74,Medium
Magnetic Resonance Imaging units,Number,Poland,2010,179,2.25,Medium
Gamma cameras,Number,Poland,2010,117,2.07,Medium
Mammographs,Number,Poland,2010,568,2.75,Medium
Computed Tomography scanners,Number,Slovak Republic,2010,76,1.88,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2010,37,1.57,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2010,3,0.48,Very Low
Gamma cameras,Number,Slovak Republic,2010,40,1.6,Low
Mammographs,Number,Slovak Republic,2010,73,1.86,Low
Radiation therapy equipment,Number,Slovak Republic,2010,62,1.79,Low
Computed Tomography scanners,Number,Spain,2010,743,2.87,Medium
Magnetic Resonance Imaging units,Number,Spain,2010,558,2.75,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2010,59,1.77,Low
Gamma cameras,Number,Spain,2010,280,2.45,Medium
Mammographs,Number,Spain,2010,678,2.83,Medium
Radiation therapy equipment,Number,Spain,2010,205,2.31,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2010,25,1.4,Low
Mammographs,Number,Switzerland,2010,259,2.41,Medium
Computed Tomography scanners,Number,Switzerland,2010,255,2.41,Medium
Radiation therapy equipment,Number,Switzerland,2010,129,2.11,Medium
Computed Tomography scanners,Number,Turkish,2010,904,2.96,Medium
Magnetic Resonance Imaging units,Number,Turkish,2010,678,2.83,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2010,40,1.6,Low
Gamma cameras,Number,Turkish,2010,171,2.23,Medium
Mammographs,Number,Turkish,2010,638,2.8,Medium
Radiation therapy equipment,Number,Turkish,2010,131,2.12,Medium
Magnetic Resonance Imaging units,Number,United States,2010,9750,3.99,High
Mammographs,Number,United States,2010,12445,4.09,Very High
Radiation therapy equipment,Number,United States,2010,3495,3.54,High
Magnetic Resonance Imaging units,Number,Brazil,2010,1126,3.05,High
Computed Tomography scanners,Number,Brazil,2010,3047,3.48,High
Computed Tomography scanners,Number,Estonia,2010,21,1.32,Low
Magnetic Resonance Imaging units,Number,Estonia,2010,11,1.04,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2010,2,0.3,Very Low
Gamma cameras,Number,Estonia,2010,3,0.48,Very Low
Radiation therapy equipment,Number,Estonia,2010,4,0.6,Very Low
Computed Tomography scanners,Number,Israel,2010,64,1.81,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2010,6,0.78,Very Low
Magnetic Resonance Imaging units,Number,Israel,2010,17,1.23,Low
Gamma cameras,Number,Israel,2010,76,1.88,Low
Radiation therapy equipment,Number,Israel,2010,30,1.48,Low
Computed Tomography scanners,Number,Russia,2010,982,2.99,Medium
Magnetic Resonance Imaging units,Number,Russia,2010,358,2.55,Medium
Computed Tomography scanners,Number,Slovenia,2010,26,1.41,Low
Magnetic Resonance Imaging units,Number,Slovenia,2010,16,1.2,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2010,2,0.3,Very Low
Gamma cameras,Number,Slovenia,2010,17,1.23,Low
Mammographs,Number,Slovenia,2010,36,1.56,Low
Radiation therapy equipment,Number,Slovenia,2010,12,1.08,Low
Magnetic Resonance Imaging units,Per million population,Australia,2010,5.67,0.75,Very Low
Computed Tomography scanners,Per million population,Australia,2010,43.07,1.63,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2010,1.41,0.15,Very Low
Gamma cameras,Per million population,Australia,2010,20.65,1.31,Low
Mammographs,Per million population,Australia,2010,24.19,1.38,Low
Radiation therapy equipment,Per million population,Australia,2010,9.3,0.97,Very Low
Computed Tomography scanners,Per million population,Austria,2010,29.89,1.48,Low
Magnetic Resonance Imaging units,Per million population,Austria,2010,18.65,1.27,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2010,1.91,0.28,Very Low
Gamma cameras,Per million population,Austria,2010,12.2,1.09,Low
Radiation therapy equipment,Per million population,Austria,2010,5.14,0.71,Very Low
Magnetic Resonance Imaging units,Per million population,Belgium,2010,10.65,1.03,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2010,2.57,0.41,Very Low
Gamma cameras,Per million population,Belgium,2010,29.55,1.47,Low
Mammographs,Per million population,Belgium,2010,39.19,1.59,Low
Radiation therapy equipment,Per million population,Belgium,2010,15.14,1.18,Low
Computed Tomography scanners,Per million population,Canada,2010,14.23,1.15,Low
Magnetic Resonance Imaging units,Per million population,Canada,2010,8.26,0.92,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Canada,2010,1.18,0.07,Very Low
Gamma cameras,Per million population,Canada,2010,21.06,1.32,Low
Computed Tomography scanners,Per million population,Czechia,2010,14.51,1.16,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2010,6.3,0.8,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2010,0.67,-0.17,Very Low
Gamma cameras,Per million population,Czechia,2010,11.65,1.07,Low
Mammographs,Per million population,Czechia,2010,12.89,1.11,Low
Radiation therapy equipment,Per million population,Czechia,2010,8.69,0.94,Very Low
Computed Tomography scanners,Per million population,Denmark,2010,27.58,1.44,Low
Mammographs,Per million population,Denmark,2010,19.29,1.29,Low
Radiation therapy equipment,Per million population,Denmark,2010,12.62,1.1,Low
Computed Tomography scanners,Per million population,Finland,2010,21.07,1.32,Low
Magnetic Resonance Imaging units,Per million population,Finland,2010,18.65,1.27,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2010,1.49,0.17,Very Low
Mammographs,Per million population,Finland,2010,30.39,1.48,Low
Radiation therapy equipment,Per million population,Finland,2010,8.95,0.95,Very Low
Computed Tomography scanners,Per million population,France,2010,11.82,1.07,Low
Magnetic Resonance Imaging units,Per million population,France,2010,6.96,0.84,Very Low
Positron Emission Tomography (PET) scanners,Per million population,France,2010,0.91,-0.04,Very Low
Gamma cameras,Per million population,France,2010,5.15,0.71,Very Low
Computed Tomography scanners,Per million population,Germany,2010,32.32,1.51,Low
Magnetic Resonance Imaging units,Per million population,Germany,2010,27.04,1.43,Low
Computed Tomography scanners,Per million population,Greece,2010,32.73,1.51,Low
Magnetic Resonance Imaging units,Per million population,Greece,2010,22.93,1.36,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2010,0.36,-0.44,Very Low
Gamma cameras,Per million population,Greece,2010,14.21,1.15,Low
Mammographs,Per million population,Greece,2010,52.51,1.72,Low
Radiation therapy equipment,Per million population,Greece,2010,6.29,0.8,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2010,0.4,-0.4,Very Low
Gamma cameras,Per million population,Hungary,2010,10.9,1.04,Low
Mammographs,Per million population,Hungary,2010,14.4,1.16,Low
Radiation therapy equipment,Per million population,Hungary,2010,4.1,0.61,Very Low
Computed Tomography scanners,Per million population,Iceland,2010,37.73,1.58,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2010,22.01,1.34,Low
Gamma cameras,Per million population,Iceland,2010,12.58,1.1,Low
Mammographs,Per million population,Iceland,2010,15.72,1.2,Low
Radiation therapy equipment,Per million population,Iceland,2010,12.58,1.1,Low
Computed Tomography scanners,Per million population,Ireland,2010,15.35,1.19,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2010,12.28,1.09,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2010,1.54,0.19,Very Low
Gamma cameras,Per million population,Ireland,2010,6.36,0.8,Very Low
Mammographs,Per million population,Ireland,2010,14.47,1.16,Low
Radiation therapy equipment,Per million population,Ireland,2010,8.33,0.92,Very Low
Computed Tomography scanners,Per million population,Italy,2010,32.17,1.51,Low
Magnetic Resonance Imaging units,Per million population,Italy,2010,22.47,1.35,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2010,2.14,0.33,Very Low
Gamma cameras,Per million population,Italy,2010,11.61,1.06,Low
Mammographs,Per million population,Italy,2010,32.29,1.51,Low
Radiation therapy equipment,Per million population,Italy,2010,6.38,0.8,Very Low
Computed Tomography scanners,Per million population,Korea,2010,35.17,1.55,Low
Magnetic Resonance Imaging units,Per million population,Korea,2010,19.88,1.3,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2010,3.13,0.5,Very Low
Gamma cameras,Per million population,Korea,2010,4.8,0.68,Very Low
Mammographs,Per million population,Korea,2010,48.71,1.69,Low
Radiation therapy equipment,Per million population,Korea,2010,5.43,0.73,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2010,25.64,1.41,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2010,13.81,1.14,Low
Computed Tomography scanners,Per million population,Mexico,2010,4.75,0.68,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2010,1.97,0.29,Very Low
Gamma cameras,Per million population,Luxembourg,2010,17.75,1.25,Low
Mammographs,Per million population,Luxembourg,2010,19.73,1.3,Low
Radiation therapy equipment,Per million population,Luxembourg,2010,5.92,0.77,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2010,1.95,0.29,Very Low
Gamma cameras,Per million population,Mexico,2010,0.38,-0.42,Very Low
Mammographs,Per million population,Mexico,2010,7.04,0.85,Very Low
Radiation therapy equipment,Per million population,Mexico,2010,1.55,0.19,Very Low
Computed Tomography scanners,Per million population,Netherlands,2010,12.34,1.09,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2010,12.22,1.09,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2010,2.41,0.38,Very Low
Gamma cameras,Per million population,Netherlands,2010,10.77,1.03,Low
Computed Tomography scanners,Per million population,New Zealand,2010,15.63,1.19,Low
Magnetic Resonance Imaging units,Per million population,New Zealand,2010,10.57,1.02,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2010,1.15,0.06,Very Low
Gamma cameras,Per million population,New Zealand,2010,3.45,0.54,Very Low
Mammographs,Per million population,New Zealand,2010,25.28,1.4,Low
Radiation therapy equipment,Per million population,New Zealand,2010,8.96,0.95,Very Low
Computed Tomography scanners,Per million population,Poland,2010,14.38,1.16,Low
Magnetic Resonance Imaging units,Per million population,Poland,2010,4.71,0.67,Very Low
Gamma cameras,Per million population,Poland,2010,3.08,0.49,Very Low
Mammographs,Per million population,Poland,2010,14.93,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,Poland,2010,0.42,-0.38,Very Low
Computed Tomography scanners,Per million population,Slovak Republic,2010,14.1,1.15,Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2010,6.86,0.84,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2010,0.56,-0.25,Very Low
Gamma cameras,Per million population,Slovak Republic,2010,7.42,0.87,Very Low
Mammographs,Per million population,Slovak Republic,2010,13.54,1.13,Low
Radiation therapy equipment,Per million population,Slovak Republic,2010,11.5,1.06,Low
Computed Tomography scanners,Per million population,Spain,2010,15.95,1.2,Low
Magnetic Resonance Imaging units,Per million population,Spain,2010,11.98,1.08,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2010,1.27,0.1,Very Low
Gamma cameras,Per million population,Spain,2010,6.01,0.78,Very Low
Mammographs,Per million population,Spain,2010,14.56,1.16,Low
Radiation therapy equipment,Per million population,Spain,2010,4.4,0.64,Very Low
Computed Tomography scanners,Per million population,Switzerland,2010,32.59,1.51,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2010,3.19,0.5,Very Low
Mammographs,Per million population,Switzerland,2010,33.1,1.52,Low
Radiation therapy equipment,Per million population,Switzerland,2010,16.49,1.22,Low
Computed Tomography scanners,Per million population,Turkish,2010,12.36,1.09,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2010,9.27,0.97,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2010,0.55,-0.26,Very Low
Gamma cameras,Per million population,Turkish,2010,2.34,0.37,Very Low
Mammographs,Per million population,Turkish,2010,8.72,0.94,Very Low
Radiation therapy equipment,Per million population,Turkish,2010,1.79,0.25,Very Low
Magnetic Resonance Imaging units,Per million population,United States,2010,31.52,1.5,Low
Mammographs,Per million population,United States,2010,40.23,1.6,Low
Radiation therapy equipment,Per million population,United States,2010,11.3,1.05,Low
Computed Tomography scanners,Per million population,Brazil,2010,15.63,1.19,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2010,5.78,0.76,Very Low
Computed Tomography scanners,Per million population,Estonia,2010,15.77,1.2,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2010,8.26,0.92,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2010,1.5,0.18,Very Low
Gamma cameras,Per million population,Estonia,2010,2.25,0.35,Very Low
Radiation therapy equipment,Per million population,Estonia,2010,3,0.48,Very Low
Computed Tomography scanners,Per million population,Israel,2010,8.4,0.92,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2010,2.23,0.35,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2010,0.79,-0.1,Very Low
